nseSymbol,companyName,,,, MARKET LOT,ISIN
CEATLTD,CEAT Limited,,,,1,INE482A01020
CEIGALL,Ceigall India Limited,,,,1,INE0AG901020
CELEBRITY,Celebrity Fashions Limited,,,,1,INE185H01016
CELLO,Cello World Limited,,,,1,INE0LMW01024
CENTENKA,Century Enka Limited,,,,1,INE485A01015
CENTEXT,Century Extrusions Limited,,,,1,INE281A01026
CENTRALBK,Central Bank of India,,,,1,INE483A01010
CENTRUM,Centrum Capital Limited,,,,1,INE660C01027
CENTUM,Centum Electronics Limited,,,,1,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,,,,1,INE348B01021
CERA,Cera Sanitaryware Limited,,,,1,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,,,,1,INE345B01019
CESC,CESC Limited,,,,1,INE486A01021
CEWATER,Concord Enviro Systems Limited,,,,1,INE037Z01029
CGCL,Capri Global Capital Limited,,,,1,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,,,,1,INE067A01029
CHALET,Chalet Hotels Limited,,,,1,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,,,,1,INE085A01013
CHEMBOND,Chembond Material Technologies Limited,,,,1,INE995D01025
CHEMCON,Chemcon Speciality Chemicals Limited,,,,1,INE03YM01018
CHEMFAB,Chemfab Alkalis Limited,,,,1,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,,,,1,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,,,,1,INE178A01016
CHEVIOT,Cheviot Company Limited,,,,1,INE974B01016
CHOICEIN,Choice International Limited,,,,1,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,,,,1,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,,,,1,INE149A01033
CIEINDIA,CIE Automotive India Limited,,,,1,INE536H01010
CIFL,Capital India Finance Limited,,,,1,INE345H01024
CIGNITITEC,Cigniti Technologies Limited,,,,1,INE675C01017
CINELINE,Cineline India Limited,,,,1,INE704H01022
CINEVISTA,Cinevista Limited,,,,1,INE039B01026
CIPLA,Cipla Limited,,,,1,INE059A01026
CLEAN,Clean Science and Technology Limited,,,,1,INE227W01023
CLEDUCATE,CL Educate Limited,,,,1,INE201M01029
CLSEL,Chaman Lal Setia Exports Limited,,,,1,INE419D01026
CMSINFO,CMS Info Systems Limited,,,,1,INE925R01014
COALINDIA,Coal India Limited,,,,1,INE522F01014
COASTCORP,Coastal Corporation Limited,,,,1,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,,,,1,INE704P01025
COFFEEDAY,Coffee Day Enterprises Limited,,,,1,INE335K01011
COFORGE,Coforge Limited,,,,1,INE591G01025
COHANCE,Cohance Lifesciences Limited,,,,1,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,,,,1,INE259A01022
COMPINFO,Compuage Infocom Limited,,,,1,INE070C01037
COMPUSOFT,Compucom Software Limited,,,,1,INE453B01029
COMSYN,Commercial Syn Bags Limited,,,,1,INE073V01015
CONCOR,Container Corporation of India Limited,,,,1,INE111A01025
CONCORDBIO,Concord Biotech Limited,,,,1,INE338H01029
CONFIPET,Confidence Petroleum India Limited,,,,1,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,,,,1,INE025A01027
CONTROLPR,Control Print Limited,,,,1,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,,,,1,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,,,,1,INE792I01017
COROMANDEL,Coromandel International Limited,,,,1,INE169A01031
COSMOFIRST,COSMO FIRST LIMITED,,,,1,INE757A01017
COUNCODOS,Country Condo's Limited,,,,1,INE695B01025
CPCAP,CP Capital Limited,,,,1,INE521J01018
CRAFTSMAN,Craftsman Automation Limited,,,,1,INE00LO01017
CREATIVE,Creative Newtech Limited,,,,1,INE985W01018
CREATIVEYE,Creative Eye Limited,,,,1,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,,,,1,INE741K01010
CREST,Crest Ventures Limited,,,,1,INE559D01011
CRISIL,CRISIL Limited,,,,1,INE007A01025
CRIZAC,Crizac Limited,,,,1,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,,,,1,INE299U01018
CROWN,Crown Lifters Limited,,,,1,INE491V01019
CSBBANK,CSB Bank Limited,,,,1,INE679A01013
CSLFINANCE,CSL Finance Limited,,,,1,INE718F01018
CTE,Cambridge Technology Enterprises Limited,,,,1,INE627H01017
CUB,City Union Bank Limited,,,,1,INE491A01021
CUBEXTUB,Cubex Tubings Limited,,,,1,INE144D01012
CUMMINSIND,Cummins India Limited,,,,1,INE298A01020
CUPID,Cupid Limited,,,,1,INE509F01029
CURAA,Cura Technologies Limited,,,,1,INE117B01020
CYBERMEDIA,Cyber Media (India) Limited,,,,1,INE278G01037
